"file","langCode","codebookSizeBits","origSize","pythonCompression","gzip1ShuffledWords","gzip1ShuffledAll","gzip1","gzip9","bzip1","bzip9","numWords","numUniqueChars","numUniqueWords","pair","Language_Name","Uninverted_Name","Country_Code","Country_Name","Region_Code","Region_Name","Area","L1_Users","Digits","All_Users","Countries","Family","Classification","Latitude","Longitude","EGIDS","Is_Written","Institutional","Developing","Vigorous","In_Trouble","Dying","Extinct","logpopall","logpopL1","translation","language","latitude","longitude","family","words","chars","book","H_original","H_order","H_structure","D_structure","D_order","booktitle","numCountries"
"som-x-bible_parsed.txt","som",12,1038133,481007,601003,788358,406829,319578,236222,236222,172050,61,16489,"-","Somali","Somali","SO","Somalia","EAF","Eastern Africa","Africa",16396400,8,16492000,4,"Afro-Asiatic","Afro-Asiatic, Cushitic, East, Somali",2.0429,45.2847,"1",TRUE,1,0,0,0,0,0,7.21727335246297,7.21474853113493,NA,NA,5.2593298,47.048012,NA,12250.6363636364,70945.3484848485,33.5,1.59053517590909,2.02767643636364,1.94443405439394,0.353898883651515,0.437141268484848,NA,14
"soq-x-bible_parsed.txt","soq",12,1408977,588300,779451,1038220,511641,390802,283146,283146,234873,58,16623,"-","Kanasi","Kanasi","PG","Papua New Guinea","MEL","Melanesia","Pacific",2200,4,2200,1,"Trans-New Guinea","Trans-New Guinea, Southeast Papuan, Dagan",-10.1858,149.8101,"5",TRUE,0,1,0,0,0,0,3.34262004255335,3.34262004255335,NA,NA,-10.16585,149.75093,NA,5810.76363636364,33203,34.7272727272727,1.57041156363636,1.91470718363636,1.97248777272727,0.402076209636364,0.344295629636364,NA,1
"sot-x-bible-newworld_parsed.txt","sot",12,1146450,482942,646037,876580,425736,319748,234650,234650,239647,77,8732,"59","Sotho, Southern","Southern Sotho","LS","Lesotho","SAF","Southern Africa","Africa",5974000,7,13874000,2,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, S, Sotho-Tswana (S.33)",-28.6757,27.4896,"1",TRUE,1,0,0,0,0,0,7.14220172146627,6.77626529096554,NA,NA,-30.358299,28.24741,NA,13991.1320754717,63310.2327044025,36.811320754717,1.52250960993711,1.98734501572327,1.78847363358491,0.265964022503145,0.464835401981132,NA,4
"sot-x-bible-southern1961_parsed.txt","sot",12,996225,419909,554376,745304,378352,291776,215872,215872,218378,66,9118,"59","Sotho, Southern","Southern Sotho","LS","Lesotho","SAF","Southern Africa","Africa",5974000,7,13874000,2,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, S, Sotho-Tswana (S.33)",-28.6757,27.4896,"1",TRUE,1,0,0,0,0,0,7.14220172146627,6.77626529096554,NA,NA,-30.358299,28.24741,NA,13991.1320754717,63310.2327044025,36.811320754717,1.52250960993711,1.98734501572327,1.78847363358491,0.265964022503145,0.464835401981132,NA,4
"sot-x-bible-southern1989_parsed.txt","sot",12,990159,422496,556631,755366,377291,290655,214369,214369,214483,60,9546,"59","Sotho, Southern","Southern Sotho","LS","Lesotho","SAF","Southern Africa","Africa",5974000,7,13874000,2,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, S, Sotho-Tswana (S.33)",-28.6757,27.4896,"1",TRUE,1,0,0,0,0,0,7.14220172146627,6.77626529096554,NA,NA,-30.358299,28.24741,NA,13991.1320754717,63310.2327044025,36.811320754717,1.52250960993711,1.98734501572327,1.78847363358491,0.265964022503145,0.464835401981132,NA,4
"soy-x-bible_parsed.txt","soy",12,1422113,571602,864899,1160884,498370,364297,248293,248293,217870,88,9713,"-","Miyobe","Miyobe","BJ","Benin","WAF","Western Africa","Africa",16250,5,16250,2,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Central, Northern, Oti-Volta, Gurma",9.9528,1.3493,"5",TRUE,0,1,0,0,0,0,4.21088009030687,4.21088009030687,NA,NA,9.9488602,1.38662,NA,8363.37037037037,40060.6666666667,53,1.70099294444444,2.09152880740741,2.01626368518519,0.315270745925926,0.390535871111111,NA,2
"spa-x-bible-americas_parsed.txt","spa",12,986086,473604,586163,786467,395591,314441,229475,229475,190862,72,13285,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-hablahoi-latina_parsed.txt","spa",12,1055403,507186,628502,849535,421029,333335,238046,238046,205668,80,11614,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-lapalabra_parsed.txt","spa",12,1057357,518478,633521,849843,438489,350645,253829,253829,200908,83,15091,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-newworld_parsed.txt","spa",12,1122386,540827,667096,906932,444180,351473,256032,256032,217343,86,13233,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
